my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
3,2,True
4,2,True
4,3,True
5,3,True
6,3,True
6,4,True
7,4,True
8,4,True
9,4,True
9,5,True
9,6,True
10,6,True
10,7,True
11,7,True
12,7,True
12,8,True
12,9,True
12,10,True
13,10,True
14,10,True
14,11,True
15,11,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
18,14,True
18,15,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
21,18,True
21,19,True
21,20,True
21,21,True
22,21,True
23,21,True
24,21,True
25,21,True
