my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
4,3,True
5,3,True
6,3,True
6,4,True
7,4,True
8,4,True
8,5,True
8,6,True
9,6,True
9,7,True
10,7,True
10,8,True
10,9,True
11,9,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
14,12,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
19,19,True
19,20,True
20,20,True
20,21,True
21,21,True
21,22,True
22,22,True
23,22,True
24,22,True
25,22,True
