my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
2,3,True
3,3,True
4,3,True
4,4,True
5,4,True
6,4,True
6,5,True
6,6,True
6,7,True
7,7,True
8,7,True
8,8,True
8,9,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
11,12,True
11,13,True
12,13,True
13,13,True
13,14,True
13,15,True
14,15,True
15,15,True
16,15,True
16,16,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
19,19,True
20,19,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
23,22,True
24,22,True
25,22,True
