my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
0,5,True
1,5,True
2,5,True
3,5,True
3,6,True
4,6,True
5,6,True
6,6,True
6,7,True
7,7,True
7,8,True
7,9,True
8,9,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
11,12,True
11,13,True
12,13,True
13,13,True
14,13,True
14,14,True
14,15,True
15,15,True
15,16,True
16,16,True
16,17,True
17,17,True
17,18,True
18,18,True
19,18,True
20,18,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
22,22,True
23,22,True
23,23,True
23,24,True
24,24,True
25,24,True
26,24,True
