my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
3,1,True
4,1,True
4,2,True
5,2,True
6,2,True
6,3,True
6,4,True
7,4,True
7,5,True
7,6,True
8,6,True
8,7,True
8,8,True
9,8,True
10,8,True
10,9,True
10,10,True
11,10,True
11,11,True
11,12,True
11,13,True
12,13,True
13,13,True
13,14,True
13,15,True
14,15,True
15,15,True
16,15,True
16,16,True
17,16,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
21,18,True
21,19,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
24,22,True
25,22,True
