my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
5,5,False
6,5,False
7,5,False
7,6,False
7,7,False
8,7,False
9,7,False
9,8,False
9,9,False
10,9,False
11,9,False
11,10,False
11,11,False
11,12,False
12,12,False
13,12,False
13,13,False
14,13,False
15,13,False
15,14,False
16,14,False
16,15,False
16,16,False
16,17,False
17,17,False
18,17,False
18,18,False
18,19,False
18,20,False
18,21,False
18,22,False
18,23,False
18,24,False
18,25,False
