my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
1,4,False
2,4,False
3,4,False
3,5,False
4,5,False
5,5,False
6,5,False
7,5,False
7,6,False
7,7,False
7,8,False
8,8,False
8,9,False
9,9,False
10,9,False
10,10,False
10,11,False
10,12,False
11,12,False
12,12,False
13,12,False
13,13,False
14,13,False
15,13,False
15,14,False
15,15,False
16,15,False
16,16,False
16,17,False
17,17,False
17,18,False
17,19,False
17,20,False
18,20,False
18,21,False
18,22,False
19,22,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
