my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
2,1,True
2,2,True
2,3,True
2,4,True
3,4,True
4,4,True
5,4,True
6,4,True
6,5,True
6,6,True
6,7,True
6,8,True
7,8,True
8,8,True
8,9,True
8,10,True
9,10,True
10,10,True
11,10,True
12,10,True
12,11,True
12,12,True
13,12,True
14,12,True
15,12,True
15,13,True
16,13,True
16,14,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
19,17,True
20,17,True
20,18,True
21,18,True
21,19,True
21,20,True
21,21,True
21,22,True
22,22,True
23,22,True
23,23,True
24,23,True
25,23,True
