my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
3,1,True
3,2,True
3,3,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
6,6,True
6,7,True
7,7,True
8,7,True
9,7,True
10,7,True
11,7,True
12,7,True
12,8,True
13,8,True
14,8,True
15,8,True
15,9,True
15,10,True
15,11,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
18,16,True
18,17,True
18,18,True
19,18,True
19,19,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
23,21,True
24,21,True
24,22,True
25,22,True
