my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
5,4,False
5,5,False
6,5,False
6,6,False
6,7,False
7,7,False
7,8,False
7,9,False
8,9,False
8,10,False
9,10,False
9,11,False
10,11,False
10,12,False
11,12,False
12,12,False
12,13,False
12,14,False
12,15,False
12,16,False
13,16,False
13,17,False
14,17,False
14,18,False
15,18,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
19,22,False
19,23,False
20,23,False
20,24,False
20,25,False
