my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
2,3,True
3,3,True
3,4,True
4,4,True
4,5,True
4,6,True
4,7,True
4,8,True
4,9,True
4,10,True
5,10,True
6,10,True
6,11,True
7,11,True
7,12,True
7,13,True
7,14,True
8,14,True
9,14,True
10,14,True
11,14,True
12,14,True
12,15,True
13,15,True
13,16,True
13,17,True
14,17,True
15,17,True
15,18,True
16,18,True
17,18,True
17,19,True
18,19,True
18,20,True
18,21,True
19,21,True
19,22,True
19,23,True
19,24,True
20,24,True
21,24,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
