my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
1,3,True
1,4,True
1,5,True
2,5,True
2,6,True
3,6,True
3,7,True
4,7,True
4,8,True
5,8,True
6,8,True
6,9,True
7,9,True
7,10,True
8,10,True
8,11,True
9,11,True
10,11,True
11,11,True
11,12,True
11,13,True
12,13,True
12,14,True
12,15,True
13,15,True
13,16,True
14,16,True
14,17,True
15,17,True
16,17,True
17,17,True
17,18,True
18,18,True
18,19,True
18,20,True
19,20,True
20,20,True
21,20,True
22,20,True
23,20,True
23,21,True
23,22,True
23,23,True
24,23,True
25,23,True
