my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
5,4,True
5,5,True
6,5,True
7,5,True
8,5,True
8,6,True
9,6,True
9,7,True
10,7,True
11,7,True
12,7,True
13,7,True
13,8,True
14,8,True
14,9,True
14,10,True
15,10,True
16,10,True
16,11,True
16,12,True
17,12,True
17,13,True
18,13,True
18,14,True
18,15,True
19,15,True
20,15,True
20,16,True
20,17,True
21,17,True
21,18,True
21,19,True
21,20,True
22,20,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
