my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
1,4,False
2,4,False
3,4,False
3,5,False
3,6,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
8,8,False
9,8,False
9,9,False
10,9,False
10,10,False
10,11,False
11,11,False
11,12,False
11,13,False
11,14,False
12,14,False
12,15,False
12,16,False
13,16,False
13,17,False
13,18,False
14,18,False
14,19,False
15,19,False
15,20,False
16,20,False
16,21,False
17,21,False
17,22,False
18,22,False
19,22,False
19,23,False
19,24,False
20,24,False
21,24,False
21,25,False
