my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
5,4,True
5,5,True
5,6,True
5,7,True
5,8,True
6,8,True
7,8,True
8,8,True
9,8,True
10,8,True
11,8,True
11,9,True
11,10,True
11,11,True
12,11,True
12,12,True
13,12,True
13,13,True
13,14,True
13,15,True
14,15,True
14,16,True
14,17,True
15,17,True
16,17,True
16,18,True
16,19,True
17,19,True
18,19,True
18,20,True
18,21,True
19,21,True
19,22,True
20,22,True
21,22,True
21,23,True
22,23,True
23,23,True
24,23,True
24,24,True
24,25,True
25,25,True
26,25,True
27,25,True
