my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
5,0,True
5,1,True
5,2,True
6,2,True
6,3,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
8,7,True
8,8,True
9,8,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
11,12,True
12,12,True
13,12,True
13,13,True
14,13,True
14,14,True
15,14,True
15,15,True
16,15,True
16,16,True
17,16,True
18,16,True
18,17,True
19,17,True
19,18,True
20,18,True
20,19,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
24,21,True
25,21,True
