my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
4,8,False
5,8,False
5,9,False
5,10,False
5,11,False
5,12,False
5,13,False
6,13,False
7,13,False
8,13,False
8,14,False
8,15,False
9,15,False
10,15,False
11,15,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
15,17,False
16,17,False
16,18,False
17,18,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
20,21,False
20,22,False
21,22,False
22,22,False
22,23,False
23,23,False
23,24,False
24,24,False
24,25,False
25,25,False
26,25,False
26,26,False
26,27,False
26,28,False
