my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
3,2,False
3,3,False
3,4,False
4,4,False
4,5,False
4,6,False
5,6,False
6,6,False
7,6,False
7,7,False
8,7,False
9,7,False
10,7,False
10,8,False
11,8,False
11,9,False
12,9,False
12,10,False
13,10,False
13,11,False
14,11,False
15,11,False
15,12,False
15,13,False
16,13,False
16,14,False
16,15,False
16,16,False
16,17,False
16,18,False
17,18,False
18,18,False
18,19,False
19,19,False
19,20,False
20,20,False
21,20,False
22,20,False
22,21,False
22,22,False
22,23,False
23,23,False
23,24,False
24,24,False
24,25,False
25,25,False
25,26,False
25,27,False
