my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
1,4,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
5,6,False
5,7,False
5,8,False
6,8,False
6,9,False
6,10,False
7,10,False
7,11,False
8,11,False
9,11,False
9,12,False
9,13,False
10,13,False
11,13,False
12,13,False
13,13,False
14,13,False
14,14,False
14,15,False
14,16,False
14,17,False
15,17,False
15,18,False
16,18,False
16,19,False
17,19,False
17,20,False
18,20,False
19,20,False
19,21,False
19,22,False
20,22,False
21,22,False
21,23,False
21,24,False
21,25,False
