my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
4,3,False
5,3,False
5,4,False
5,5,False
6,5,False
7,5,False
7,6,False
8,6,False
9,6,False
9,7,False
9,8,False
10,8,False
10,9,False
11,9,False
12,9,False
12,10,False
12,11,False
12,12,False
12,13,False
13,13,False
14,13,False
14,14,False
14,15,False
14,16,False
15,16,False
16,16,False
17,16,False
17,17,False
18,17,False
18,18,False
18,19,False
19,19,False
20,19,False
20,20,False
20,21,False
20,22,False
21,22,False
21,23,False
22,23,False
23,23,False
23,24,False
23,25,False
