my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
2,2,True
3,2,True
4,2,True
5,2,True
5,3,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
9,7,True
10,7,True
11,7,True
12,7,True
12,8,True
12,9,True
13,9,True
13,10,True
14,10,True
15,10,True
16,10,True
16,11,True
17,11,True
17,12,True
17,13,True
18,13,True
18,14,True
18,15,True
19,15,True
20,15,True
21,15,True
21,16,True
21,17,True
21,18,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
