my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
3,2,True
3,3,True
4,3,True
4,4,True
5,4,True
6,4,True
6,5,True
7,5,True
7,6,True
8,6,True
9,6,True
9,7,True
10,7,True
11,7,True
12,7,True
12,8,True
12,9,True
12,10,True
12,11,True
13,11,True
13,12,True
14,12,True
15,12,True
15,13,True
15,14,True
16,14,True
17,14,True
17,15,True
18,15,True
18,16,True
19,16,True
20,16,True
20,17,True
20,18,True
21,18,True
21,19,True
22,19,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
