my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
1,4,True
2,4,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
5,7,True
5,8,True
5,9,True
5,10,True
5,11,True
6,11,True
7,11,True
8,11,True
9,11,True
10,11,True
10,12,True
11,12,True
12,12,True
13,12,True
14,12,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
18,16,True
19,16,True
20,16,True
21,16,True
21,17,True
22,17,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
