my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
2,3,True
3,3,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
6,6,True
7,6,True
7,7,True
7,8,True
8,8,True
9,8,True
10,8,True
11,8,True
11,9,True
11,10,True
11,11,True
11,12,True
12,12,True
12,13,True
12,14,True
13,14,True
13,15,True
14,15,True
14,16,True
15,16,True
16,16,True
16,17,True
17,17,True
17,18,True
18,18,True
18,19,True
19,19,True
19,20,True
19,21,True
20,21,True
20,22,True
20,23,True
21,23,True
22,23,True
23,23,True
24,23,True
25,23,True
