my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
3,1,True
3,2,True
3,3,True
3,4,True
4,4,True
4,5,True
5,5,True
5,6,True
5,7,True
6,7,True
6,8,True
7,8,True
7,9,True
8,9,True
8,10,True
9,10,True
10,10,True
10,11,True
10,12,True
11,12,True
11,13,True
12,13,True
12,14,True
13,14,True
14,14,True
14,15,True
15,15,True
16,15,True
17,15,True
18,15,True
18,16,True
19,16,True
19,17,True
19,18,True
19,19,True
20,19,True
20,20,True
21,20,True
21,21,True
22,21,True
22,22,True
23,22,True
23,23,True
24,23,True
24,24,True
25,24,True
25,25,True
25,26,True
26,26,True
27,26,True
28,26,True
