my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
2,3,True
2,4,True
2,5,True
3,5,True
4,5,True
5,5,True
5,6,True
5,7,True
6,7,True
7,7,True
7,8,True
7,9,True
8,9,True
9,9,True
10,9,True
10,10,True
11,10,True
12,10,True
12,11,True
13,11,True
13,12,True
13,13,True
14,13,True
15,13,True
15,14,True
16,14,True
16,15,True
17,15,True
17,16,True
18,16,True
18,17,True
18,18,True
18,19,True
19,19,True
19,20,True
19,21,True
20,21,True
21,21,True
22,21,True
22,22,True
23,22,True
23,23,True
24,23,True
24,24,True
24,25,True
25,25,True
25,26,True
26,26,True
26,27,True
27,27,True
28,27,True
29,27,True
