my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
3,3,True
3,4,True
4,4,True
5,4,True
5,5,True
5,6,True
6,6,True
6,7,True
7,7,True
7,8,True
8,8,True
8,9,True
9,9,True
9,10,True
10,10,True
10,11,True
11,11,True
11,12,True
12,12,True
12,13,True
13,13,True
13,14,True
14,14,True
15,14,True
15,15,True
16,15,True
17,15,True
18,15,True
18,16,True
19,16,True
20,16,True
20,17,True
21,17,True
21,18,True
21,19,True
22,19,True
22,20,True
22,21,True
23,21,True
24,21,True
25,21,True
