my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
5,9,False
5,10,False
6,10,False
7,10,False
7,11,False
8,11,False
9,11,False
10,11,False
10,12,False
11,12,False
11,13,False
11,14,False
11,15,False
11,16,False
11,17,False
11,18,False
11,19,False
12,19,False
12,20,False
13,20,False
14,20,False
15,20,False
16,20,False
16,21,False
16,22,False
16,23,False
17,23,False
18,23,False
19,23,False
19,24,False
20,24,False
21,24,False
21,25,False
