my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
2,2,False
3,2,False
3,3,False
4,3,False
5,3,False
5,4,False
5,5,False
5,6,False
6,6,False
6,7,False
6,8,False
7,8,False
7,9,False
8,9,False
8,10,False
8,11,False
8,12,False
9,12,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
13,14,False
13,15,False
13,16,False
14,16,False
14,17,False
14,18,False
15,18,False
16,18,False
16,19,False
16,20,False
17,20,False
18,20,False
19,20,False
19,21,False
19,22,False
20,22,False
21,22,False
22,22,False
23,22,False
23,23,False
23,24,False
24,24,False
24,25,False
25,25,False
25,26,False
25,27,False
