my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
3,4,False
4,4,False
4,5,False
4,6,False
5,6,False
6,6,False
6,7,False
7,7,False
7,8,False
8,8,False
8,9,False
9,9,False
10,9,False
10,10,False
11,10,False
11,11,False
12,11,False
13,11,False
13,12,False
14,12,False
14,13,False
14,14,False
14,15,False
15,15,False
15,16,False
15,17,False
15,18,False
15,19,False
16,19,False
16,20,False
16,21,False
16,22,False
16,23,False
17,23,False
18,23,False
18,24,False
18,25,False
