my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
4,0,True
4,1,True
4,2,True
5,2,True
5,3,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
9,6,True
9,7,True
9,8,True
10,8,True
10,9,True
11,9,True
11,10,True
11,11,True
12,11,True
12,12,True
13,12,True
14,12,True
14,13,True
15,13,True
15,14,True
15,15,True
15,16,True
15,17,True
16,17,True
17,18,True
18,18,True
19,18,True
19,19,True
20,19,True
20,20,True
21,20,True
21,21,True
22,21,True
22,22,True
23,22,True
23,23,True
23,24,True
24,24,True
24,25,True
25,25,True
25,26,True
26,26,True
27,26,True
28,26,True
