my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
5,5,False
6,5,False
7,5,False
7,6,False
8,6,False
9,6,False
9,7,False
9,8,False
10,8,False
11,8,False
11,9,False
12,9,False
12,10,False
13,10,False
14,10,False
14,11,False
14,12,False
15,12,False
15,13,False
15,14,False
15,15,False
15,16,False
15,17,False
15,18,False
16,18,False
16,19,False
17,19,False
18,19,False
18,20,False
19,20,False
19,21,False
20,21,False
20,22,False
21,22,False
21,23,False
22,23,False
22,24,False
23,24,False
23,25,False
