my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
2,4,False
3,4,False
3,5,False
3,6,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
8,10,False
8,11,False
10,11,False
11,11,False
12,11,False
13,11,False
13,12,False
13,13,False
14,13,False
14,14,False
14,15,False
15,15,False
15,16,False
16,17,False
17,17,False
17,18,False
18,18,False
18,19,False
19,19,False
19,20,False
20,20,False
20,21,False
20,22,False
21,22,False
21,23,False
21,24,False
21,25,False
