my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
3,2,False
3,3,False
3,4,False
4,4,False
5,4,False
5,5,False
5,6,False
5,7,False
6,7,False
6,8,False
6,9,False
7,9,False
8,9,False
8,10,False
9,10,False
9,11,False
9,12,False
10,12,False
10,13,False
10,14,False
11,14,False
12,14,False
12,15,False
12,16,False
13,16,False
14,16,False
15,16,False
15,17,False
15,18,False
15,19,False
15,20,False
16,20,False
17,20,False
17,21,False
17,22,False
18,22,False
18,23,False
18,24,False
19,24,False
19,25,False
