my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
2,3,True
3,3,True
3,4,True
3,5,True
3,6,True
4,6,True
5,6,True
5,7,True
5,8,True
6,8,True
6,9,True
7,9,True
7,10,True
8,10,True
8,11,True
9,11,True
9,12,True
9,13,True
10,13,True
11,13,True
11,14,True
11,15,True
11,16,True
11,17,True
12,17,True
13,17,True
13,18,True
14,18,True
14,19,True
15,19,True
16,19,True
16,20,True
17,20,True
17,21,True
18,21,True
19,21,True
19,22,True
20,22,True
20,23,True
21,23,True
22,23,True
23,23,True
24,23,True
25,23,True
