my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
3,3,False
4,3,False
5,3,False
5,4,False
6,4,False
6,5,False
7,5,False
7,6,False
8,6,False
8,7,False
8,8,False
9,8,False
10,8,False
11,8,False
11,9,False
12,9,False
12,10,False
13,10,False
14,10,False
15,10,False
15,11,False
15,12,False
16,12,False
16,13,False
16,14,False
17,14,False
18,14,False
19,14,False
19,15,False
20,15,False
20,16,False
20,17,False
21,17,False
21,18,False
21,19,False
21,20,False
21,21,False
21,22,False
22,22,False
23,22,False
23,23,False
23,24,False
24,24,False
24,25,False
24,26,False
