my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
2,5,True
2,6,True
3,6,True
3,7,True
3,8,True
4,8,True
4,9,True
5,9,True
6,9,True
6,10,True
7,10,True
7,11,True
8,11,True
8,12,True
9,12,True
10,12,True
11,12,True
12,12,True
12,13,True
13,13,True
14,13,True
15,13,True
15,14,True
16,14,True
17,14,True
18,14,True
19,14,True
19,15,True
20,15,True
20,16,True
21,16,True
22,16,True
22,17,True
23,17,True
23,18,True
23,19,True
23,20,True
23,21,True
24,21,True
24,22,True
24,23,True
25,23,True
