my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
4,3,True
4,4,True
5,4,True
5,5,True
6,5,True
6,6,True
7,6,True
8,6,True
8,7,True
8,8,True
9,8,True
9,9,True
10,9,True
11,9,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
15,11,True
15,12,True
15,13,True
16,13,True
16,14,True
17,14,True
18,14,True
18,15,True
18,16,True
19,16,True
20,16,True
20,17,True
20,18,True
20,19,True
21,19,True
21,20,True
22,20,True
22,21,True
22,22,True
22,23,True
23,23,True
23,24,True
24,24,True
25,24,True
25,25,True
26,25,True
26,26,True
26,27,True
27,27,True
28,27,True
28,28,True
29,28,True
29,29,True
30,29,True
31,29,True
