my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
3,2,False
3,3,False
4,3,False
4,4,False
4,5,False
5,5,False
5,6,False
6,6,False
7,6,False
7,7,False
7,8,False
8,8,False
9,8,False
9,9,False
10,9,False
10,10,False
10,11,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
13,14,False
13,15,False
14,15,False
14,16,False
14,17,False
15,17,False
16,17,False
16,18,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
18,22,False
19,22,False
19,23,False
20,23,False
20,24,False
20,25,False
