my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
2,1,False
2,2,False
2,3,False
3,3,False
3,4,False
3,5,False
4,5,False
4,6,False
4,7,False
5,7,False
6,7,False
7,7,False
7,8,False
7,9,False
7,10,False
7,11,False
8,11,False
8,12,False
9,12,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
12,15,False
13,15,False
13,16,False
13,17,False
14,17,False
14,18,False
14,19,False
14,20,False
14,21,False
15,21,False
16,21,False
17,21,False
17,22,False
18,22,False
18,23,False
19,23,False
20,23,False
21,23,False
22,23,False
22,24,False
22,25,False
