my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
2,3,False
2,4,False
3,4,False
4,4,False
5,4,False
5,5,False
5,6,False
6,6,False
7,6,False
7,7,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
9,11,False
10,11,False
10,12,False
10,13,False
10,14,False
11,14,False
11,15,False
12,15,False
12,16,False
13,16,False
13,17,False
14,17,False
15,17,False
15,18,False
16,18,False
17,18,False
18,18,False
18,19,False
18,20,False
18,21,False
18,22,False
19,22,False
19,23,False
20,23,False
21,23,False
21,24,False
22,24,False
22,25,False
