my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
1,4,False
1,5,False
2,5,False
2,6,False
3,6,False
3,7,False
4,7,False
5,7,False
6,7,False
6,8,False
7,8,False
7,9,False
8,9,False
8,10,False
9,10,False
10,10,False
10,11,False
10,12,False
10,13,False
10,14,False
10,15,False
11,15,False
11,16,False
11,17,False
12,17,False
13,17,False
13,18,False
14,18,False
15,18,False
15,19,False
16,19,False
16,20,False
17,20,False
17,21,False
17,22,False
17,23,False
18,23,False
18,24,False
19,24,False
19,25,False
