my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
3,4,False
3,5,False
4,5,False
5,5,False
5,6,False
6,6,False
6,7,False
7,7,False
7,8,False
7,9,False
7,10,False
8,10,False
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
10,14,False
10,15,False
11,15,False
11,16,False
12,16,False
13,16,False
13,17,False
14,17,False
14,18,False
14,19,False
14,20,False
14,21,False
15,21,False
15,22,False
16,22,False
17,22,False
18,22,False
19,22,False
20,22,False
20,23,False
21,23,False
21,24,False
21,25,False
