my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
5,5,False
6,5,False
7,5,False
7,6,False
8,6,False
9,6,False
9,7,False
10,7,False
10,8,False
10,9,False
11,9,False
12,9,False
13,9,False
13,10,False
13,11,False
13,12,False
13,13,False
14,13,False
15,13,False
15,14,False
16,14,False
16,15,False
16,16,False
17,16,False
17,17,False
18,17,False
18,18,False
19,18,False
19,19,False
19,20,False
19,21,False
20,21,False
21,21,False
21,22,False
22,22,False
22,23,False
22,24,False
23,24,False
23,25,False
