my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
1,2,True
1,3,True
2,3,True
2,4,True
2,5,True
3,5,True
3,6,True
4,6,True
4,7,True
5,7,True
5,8,True
6,8,True
6,9,True
7,9,True
7,10,True
7,11,True
8,11,True
9,11,True
9,12,True
10,12,True
11,12,True
11,13,True
12,13,True
13,13,True
13,14,True
14,14,True
14,15,True
14,16,True
14,17,True
15,17,True
15,18,True
16,18,True
16,19,True
17,19,True
18,19,True
18,20,True
19,20,True
19,21,True
20,21,True
20,22,True
21,22,True
22,22,True
22,23,True
22,24,True
23,24,True
24,24,True
25,24,True
26,24,True
