my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
3,0,False
3,1,False
4,1,False
5,1,False
5,2,False
5,3,False
6,3,False
6,4,False
6,5,False
6,6,False
7,6,False
7,7,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
8,12,False
8,13,False
9,13,False
9,14,False
9,15,False
9,16,False
10,16,False
11,16,False
11,17,False
12,17,False
13,17,False
13,18,False
14,18,False
14,19,False
14,20,False
14,21,False
14,22,False
15,22,False
15,23,False
15,24,False
16,24,False
17,24,False
17,25,False
