my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
2,1,False
2,2,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
5,8,False
5,9,False
5,10,False
6,10,False
7,10,False
8,10,False
9,10,False
9,11,False
9,12,False
9,13,False
9,14,False
10,14,False
10,15,False
11,15,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
14,18,False
15,18,False
16,18,False
16,19,False
17,19,False
17,20,False
17,21,False
18,21,False
18,22,False
18,23,False
18,24,False
19,24,False
19,25,False
