my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
4,3,True
4,4,True
5,4,True
5,5,True
6,5,True
7,5,True
7,6,True
8,6,True
9,6,True
9,7,True
9,8,True
10,8,True
10,9,True
10,10,True
10,11,True
11,11,True
11,12,True
12,12,True
12,13,True
13,13,True
14,13,True
14,14,True
15,14,True
16,14,True
17,14,True
18,14,True
19,14,True
19,15,True
20,15,True
20,16,True
21,16,True
21,17,True
22,17,True
23,18,True
23,19,True
24,19,True
23,21,True
23,22,True
24,22,True
24,23,True
25,23,True
