my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
3,2,True
3,3,True
4,3,True
5,3,True
5,4,True
6,4,True
6,5,True
6,6,True
7,6,True
8,6,True
8,7,True
9,7,True
9,8,True
10,8,True
10,9,True
11,9,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
14,12,True
15,12,True
15,13,True
15,14,True
16,14,True
16,15,True
17,15,True
17,16,True
18,16,True
18,17,True
19,17,True
19,18,True
19,19,True
20,19,True
20,20,True
21,20,True
22,20,True
22,21,True
23,21,True
23,22,True
24,22,True
25,22,True
