my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
0,3,False
1,3,False
2,3,False
3,3,False
3,4,False
3,5,False
3,6,False
3,7,False
4,7,False
5,7,False
5,8,False
6,8,False
6,9,False
7,9,False
8,9,False
8,10,False
9,10,False
9,11,False
10,11,False
11,11,False
12,11,False
12,12,False
13,12,False
13,13,False
14,13,False
14,14,False
15,14,False
15,15,False
15,16,False
15,17,False
15,18,False
16,18,False
16,19,False
17,19,False
17,20,False
17,21,False
18,21,False
18,22,False
19,22,False
20,22,False
20,23,False
20,24,False
20,25,False
