my_score,opponent_score,win
0,0,False
1,0,False
2,0,False
2,1,False
3,1,False
4,1,False
4,2,False
5,2,False
5,3,False
5,4,False
5,5,False
5,6,False
6,6,False
6,7,False
7,7,False
8,7,False
8,8,False
9,8,False
9,9,False
10,9,False
10,10,False
10,11,False
11,11,False
11,12,False
11,13,False
12,13,False
13,13,False
14,13,False
14,14,False
14,15,False
15,15,False
15,16,False
16,16,False
16,17,False
17,17,False
17,18,False
18,18,False
19,18,False
19,19,False
19,20,False
19,21,False
19,22,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
