my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
1,3,False
2,3,False
2,4,False
3,4,False
3,5,False
4,5,False
4,6,False
5,6,False
5,7,False
6,7,False
6,8,False
6,9,False
6,10,False
6,11,False
7,11,False
8,11,False
8,12,False
9,12,False
10,12,False
10,13,False
10,14,False
10,15,False
11,15,False
12,15,False
12,16,False
13,16,False
14,16,False
14,17,False
15,17,False
16,17,False
17,17,False
17,18,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
20,21,False
20,22,False
20,23,False
21,23,False
21,24,False
22,24,False
22,25,False
