my_score,opponent_score,win
0,0,False
1,0,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
4,3,False
5,3,False
6,3,False
6,4,False
7,4,False
7,5,False
7,6,False
8,6,False
8,7,False
8,8,False
8,9,False
9,9,False
9,10,False
10,10,False
10,11,False
10,12,False
11,12,False
11,13,False
12,13,False
12,14,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
15,17,False
15,18,False
15,19,False
15,20,False
16,20,False
16,21,False
16,22,False
16,23,False
17,23,False
18,23,False
19,23,False
19,24,False
19,25,False
