my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
1,3,False
1,4,False
2,4,False
2,5,False
3,5,False
3,6,False
4,6,False
4,7,False
5,7,False
5,8,False
6,8,False
7,8,False
8,8,False
9,8,False
9,9,False
10,9,False
10,10,False
11,10,False
11,11,False
12,11,False
13,11,False
13,12,False
14,12,False
15,12,False
15,13,False
16,13,False
16,14,False
16,15,False
16,16,False
17,16,False
17,17,False
17,18,False
18,18,False
18,19,False
19,19,False
19,20,False
19,21,False
20,21,False
21,21,False
22,21,False
22,22,False
22,23,False
23,23,False
23,24,False
24,24,False
24,25,False
24,26,False
