my_score,opponent_score,win
0,0,False
0,1,False
1,1,False
1,2,False
2,2,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
5,5,False
6,5,False
6,6,False
6,7,False
6,8,False
7,8,False
7,9,False
7,10,False
8,10,False
8,11,False
9,11,False
9,12,False
10,12,False
10,13,False
11,13,False
11,14,False
12,14,False
12,15,False
13,15,False
14,15,False
14,16,False
15,16,False
15,17,False
15,18,False
16,18,False
16,19,False
17,19,False
17,20,False
18,20,False
18,21,False
19,21,False
19,22,False
19,23,False
19,24,False
19,25,False
