my_score,opponent_score,win
0,0,False
0,1,False
0,2,False
1,2,False
2,2,False
2,3,False
3,3,False
3,4,False
4,4,False
4,5,False
5,5,False
5,6,False
5,7,False
5,8,False
6,8,False
6,9,False
6,10,False
6,11,False
7,11,False
7,12,False
8,12,False
8,13,False
9,13,False
10,13,False
11,13,False
11,14,False
12,14,False
12,15,False
13,15,False
13,16,False
14,16,False
14,17,False
14,18,False
15,18,False
15,19,False
16,19,False
17,19,False
17,20,False
17,21,False
18,21,False
18,22,False
19,22,False
20,22,False
20,23,False
20,24,False
21,24,False
21,25,False
