my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
4,5,True
5,5,True
6,5,True
6,6,True
7,6,True
7,7,True
7,8,True
8,8,True
9,8,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
12,11,True
13,11,True
14,11,True
14,12,True
15,12,True
15,13,True
16,13,True
17,13,True
17,14,True
17,15,True
17,16,True
17,17,True
18,17,True
18,18,True
19,18,True
19,19,True
20,19,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
24,21,True
24,22,True
25,22,True
