my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
3,1,True
3,2,True
4,2,True
4,3,True
5,3,True
5,4,True
5,5,True
6,5,True
6,6,True
7,6,True
8,6,True
8,7,True
9,7,True
10,7,True
10,8,True
11,8,True
11,9,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
15,11,True
15,12,True
15,13,True
15,14,True
16,14,True
16,15,True
17,15,True
18,15,True
18,16,True
18,17,True
19,17,True
20,17,True
21,17,True
22,17,True
22,18,True
22,19,True
23,19,True
24,19,True
24,20,True
24,21,True
24,22,True
25,22,True
