my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
2,1,True
2,2,True
2,3,True
2,4,True
3,4,True
4,4,True
5,4,True
6,4,True
7,4,True
7,5,True
7,6,True
7,7,True
7,8,True
8,8,True
9,8,True
9,9,True
10,9,True
10,10,True
11,10,True
12,10,True
13,10,True
13,11,True
14,11,True
15,11,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
19,15,True
20,15,True
20,16,True
20,17,True
20,18,True
21,18,True
22,18,True
22,19,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
