my_score,opponent_score,win
0,0,True
1,0,True
1,1,True
1,2,True
2,2,True
2,3,True
3,3,True
4,3,True
5,3,True
5,4,True
5,5,True
5,6,True
6,6,True
7,6,True
7,7,True
8,7,True
9,7,True
9,8,True
9,9,True
9,10,True
9,11,True
10,11,True
11,11,True
11,12,True
12,12,True
12,13,True
13,13,True
13,14,True
14,14,True
14,15,True
15,15,True
15,16,True
16,16,True
16,17,True
17,17,True
18,17,True
19,17,True
20,17,True
20,18,True
21,18,True
21,19,True
22,19,True
22,20,True
23,20,True
23,21,True
23,22,True
24,22,True
25,22,True
