my_score,opponent_score,win
0,0,True
0,1,True
1,1,True
2,1,True
2,2,True
3,2,True
3,3,True
3,4,True
4,4,True
4,5,True
4,6,True
5,6,True
5,7,True
6,7,True
7,7,True
7,8,True
8,8,True
8,9,True
9,9,True
10,9,True
11,9,True
11,10,True
12,10,True
12,11,True
12,12,True
13,12,True
13,13,True
13,14,True
14,14,True
14,15,True
14,16,True
14,17,True
15,17,True
15,18,True
16,18,True
16,19,True
17,19,True
18,19,True
18,20,True
19,20,True
19,21,True
20,21,True
21,21,True
21,22,True
22,22,True
23,22,True
24,22,True
25,22,True
