my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
2,2,True
3,2,True
3,3,True
4,3,True
5,3,True
5,4,True
6,4,True
7,4,True
7,5,True
8,5,True
8,6,True
9,6,True
10,6,True
10,7,True
10,8,True
10,9,True
11,9,True
11,10,True
12,10,True
13,10,True
13,11,True
13,12,True
14,12,True
15,12,True
16,12,True
16,13,True
16,14,True
17,14,True
18,14,True
18,15,True
18,16,True
19,16,True
19,17,True
20,17,True
20,18,True
21,18,True
21,19,True
21,20,True
22,20,True
23,20,True
24,20,True
24,21,True
25,21,True
