my_score,opponent_score,win
0,0,True
1,0,True
2,0,True
3,0,True
3,1,True
3,2,True
4,2,True
5,2,True
6,2,True
7,2,True
7,3,True
8,3,True
8,4,True
9,4,True
9,5,True
10,5,True
10,6,True
11,6,True
11,7,True
11,8,True
12,8,True
12,9,True
13,9,True
13,10,True
13,11,True
13,12,True
14,12,True
14,13,True
15,13,True
16,13,True
16,14,True
16,15,True
17,15,True
17,16,True
18,16,True
18,17,True
19,17,True
20,17,True
20,18,True
20,19,True
21,19,True
22,19,True
23,19,True
23,20,True
23,21,True
24,21,True
25,21,True
