my_score,opponent_score,win
0,0,True
0,1,True
0,2,True
1,2,True
1,3,True
2,3,True
3,3,True
3,4,True
4,4,True
5,4,True
5,5,True
6,5,True
7,5,True
7,6,True
8,6,True
9,6,True
9,7,True
10,7,True
10,8,True
11,8,True
12,8,True
12,9,True
13,9,True
13,10,True
14,10,True
15,10,True
15,11,True
15,12,True
16,12,True
16,13,True
17,13,True
17,14,True
17,15,True
18,15,True
19,15,True
19,16,True
19,17,True
20,17,True
21,17,True
22,17,True
22,18,True
22,19,True
23,19,True
23,20,True
24,20,True
24,21,True
24,22,True
25,22,True
